date,depblotoc,who,time,notes
6/10/10,5.83,BB,8:17,
7/19/10,5.45,MH,7:58,
8/23/10,5.95,MH,7:54,
9/21/10,5.88,MH,8:40,
10/22/10,5.80,MH,8:08,
11/22/10,5.57,MH,8:44,
12/31/10,4.25,BB,13:16,
1/21/11,4.00,MH,8:50,
2/22/11,3.95,BB,0:00,
3/26/11,3.95,MH,9:27,
4/26/11,4.22,BB,9:12,
5/20/11,4.47,BB,16:47,
6/29/11,4.98,BB,6:30,
7/22/11,5.25,BB,7:35,
8/28/11,5.38,BB,6:41,
9/28/11,5.56,MH,8:48,Niterwort community b/w 2 & 3
10/28/11,5.61,BB,16:03,
11/25/11,5.38,MH,10:16,
12/31/11,5.06,BB,12:57,
1/31/12,4.78,BB,11:28,
2/29/12,4.48,BB,14:45,
5/30/12,4.66,BB,6:44,
6/30/12,5.08,BB,7:12,
7/26/12,5.35,"DL, HH, & JH",7:03,
8/28/12,5.15,JP & SS,7:20,Damp soil - rain event 8/22/12
9/25/12,5.63,JP,7:12,
11/1/12,5.33,JP,8:43,
11/22/12,5.02,SS & KB,9:15,
12/31/12,4.81,HH & JH,12:20,
2/2/13,4.37,BB,9:04,
2/28/13,4.18,DL,11:51,
3/31/13,3.98,BB,9:43,
4/30/13,4.19,BB,8:21,
5/29/13,4.57,DL & JK,8:04,
6/27/13,4.99,DL,6:19,Observed niterwort b/w CS2 & CS3. Growing vigorously - real green
7/31/13,5.21,BB,7:12,
8/28/13,5.13,JK,9:56,
9/30/13,5.35,BB,15:35,
10/30/13,5.29,BB,12:19,
11/30/13,4.93,JK,14:49,
12/27/13,4.76,JK,9:01,
1/31/14,4.51,JK,9:34,
3/28/14,4.01,JK,10:43,
5/3/14,4.09,BB,8:32,
5/31/14,3.32,BB,7:03,
6/27/14,4.81,JK,6:40,
7/27/14,5.22,BB,7:25,Yikes! Horseflies!
8/31/14,5.38,BB,6:52,7 horses
10/2/14,5.36,JK,10:10,
12/29/14,4.63,PD,0:00,
1/31/15,4.02,PD,0:00,
3/31/15,3.82,AD,16:34,
4/28/15,4.14,AD,15:55,
5/29/15,4.34,PD,7:32,
9/14/15,5.50,PD,9:59,
3/10/17,4.10,TH,12:04,"Transducer disconnected (vandalized?) since last monitoring event. Cap on piezometer found off.  Disconnected part found nearby, brought to Amargosa Conservancy office."
7/9/17,5.39,TH,10:20,"6/9/17 attempt failed, loss of light"
9/16/17,5.91,TH,6:46,Transducer servered (now at AC office) Found with cap off. Need to cut notch in PVC pipe for cord if replacing transducer.
12/15/17,5.25,TH,14:20,Piezomenter needs notch. Fresh mule dung b/w 2 & 3. No water b/w 1 & 2.
1/18/18,4.80,TH,10:16,Removed INSITU Level Troll 500
2/15/18,4.53,TH,16:00,Niterwort between 1 and 2. Equine dung between 1 and 2.
3/15/18,4.25,TH,12:08,
4/19/18,4.30,TH,12:09,
5/15/18,4.41,TH,13:18,
6/16/18,4.88,TH,8:50,
7/20/18,5.32,TH,10:47,Nitrwort between 2 and 3 (photographed).
8/22/18,5.73,TH,9:46,More/same/different niterwort between 2 and 3 (photographed).
9/17/18,5.86,TH,12:26,Horses sighted to the northwest by tree cluster.
10/15/18,5.74,TH,12:03,
11/18/18,5.47,TH,15:07,
12/12/18,5.19,TH,15:13,Lost pencil between 1 and 2
3/11/19,3.08,TH,13:08,Very muddy
4/12/19,4.05,TH,19:03,
8/15/19,5.55,TH,7:02,Dry
3/24/2022,3.97,MV,8:23,Muddy
4/29/2022,4.04,MV,10:35,"Dry, some exposed water"
6/3/2022,4.57,MV,10:35,Dry
7/1/2022,4.88,MV,7:17,Dry
7/28/2022,5.19,MV,7:05,Dry
8/24/2022,4.74,MV,6:50,Slightly muddy
9/23/2022,5.19,MV,10:20,muddy
10/19/2022,5.12,MV,1:35,muddy
11/23/2022,4.94,MV,11:19,
12/15/2022,4.72,MV,9:40,
1/13/2023,4.23,MV,10:05,
2/10/2023,4.00,MV,11:39,
